name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
94-AL1/15-ST1A,50.0,0.306,0.3675663404700058,9.97,350.0,overhead,145.27,custom
122-AL1/20-ST1A,50.0,0.2376,0.3581415625092364,10.21,410.0,overhead,188.69,custom
149-AL1/24-ST1A,50.0,0.19399999999999998,0.35185837720205687,10.4,470.0,overhead,229.66,custom
184-AL1/30-ST1A,50.0,0.1571,0.3455751918948773,10.61,535.0,overhead,283.53,custom
243-AL1/39-ST1A,50.0,0.1188,0.33615041393410794,10.89,645.0,overhead,373.25,custom
2xNAYY4x050,50.0,0.3205,0.04241150082346221,1340.0,242.52,cable,100.0,custom
2xNAYY4x070,50.0,0.2215,0.041154863762026296,1500.0,302.72,cable,140.0,custom
2xNAYY4x095,50.0,0.16,0.040997784129346806,1540.0,362.92,cable,190.0,custom
2xNAYY4x120,50.0,0.1265,0.04021238596594935,1680.0,412.8,cable,240.0,custom
2xNAYY4x150,50.0,0.10300000000000001,0.04021238596594935,1660.0,464.4,cable,300.0,custom
2xNAYY4x185,50.0,0.08199999999999999,0.04021238596594935,1660.0,528.04,cable,370.0,custom
2xNAYY4x240,50.0,0.0625,0.03989822670059038,1740.0,614.04,cable,480.0,custom
2xNYY4x050,50.0,0.1935,0.04241150082346221,1340.0,318.2,cable,100.0,custom
2xNYY4x070,50.0,0.134,0.041154863762026296,1500.0,392.16,cable,140.0,custom
2xNYY4x095,50.0,0.0965,0.040997784129346806,1540.0,471.28,cable,190.0,custom
2xNYY4x120,50.0,0.0765,0.04021238596594935,1680.0,538.36,cable,240.0,custom
2xNYY4x150,50.0,0.062,0.04021238596594935,1660.0,605.44,cable,300.0,custom
2xNYY4x185,50.0,0.04955,0.04021238596594935,1660.0,684.56,cable,370.0,custom
2xNYY4x240,50.0,0.0377,0.03989822670059038,1740.0,798.08,cable,480.0,custom
4xNAYY4x240,50.0,0.03125,0.01994911335029519,1740.0,1105.272,unknown,480.0,custom
8xNAYY4x240,50.0,0.015625,0.009974556675147595,1740.0,2210.544,unknown,480.0,custom
16xNAYY4x240,50.0,0.0078125,0.004987278337573797,1740.0,3978.9792,unknown,480.0,custom
32xNAYY4x240,50.0,0.00390625,0.0024936391687868987,1740.0,7957.9584,unknown,480.0,custom
64xNAYY4x240,50.0,0.001953125,0.0012468195843934494,1740.0,14324.32512,unknown,480.0,custom
